hname,City,State,year,rate,group_2013,group_2014,group_2015,group_2016,group_2017,stategroup,stateorder
LAKE NORMAN REGIONAL MEDICAL CENTER,MOORESVILLE,NC,FY2013,0.02,1,1,1,1,2,1,8
LAKE NORMAN REGIONAL MEDICAL CENTER,MOORESVILLE,NC,FY2014,0.07,1,1,1,1,2,1,8
LAKE NORMAN REGIONAL MEDICAL CENTER,MOORESVILLE,NC,FY2015,0.27,1,1,1,1,2,1,8
LAKE NORMAN REGIONAL MEDICAL CENTER,MOORESVILLE,NC,FY2016,0.5,1,1,1,1,2,1,8
LAKE NORMAN REGIONAL MEDICAL CENTER,MOORESVILLE,NC,FY2017,0.63,1,1,1,1,2,1,8
LENOIR MEMORIAL HOSPITAL,KINSTON,NC,FY2013,0.08,1,0,1,1,2,1,8
LENOIR MEMORIAL HOSPITAL,KINSTON,NC,FY2014,0,1,0,1,1,2,1,8
LENOIR MEMORIAL HOSPITAL,KINSTON,NC,FY2015,0.05,1,0,1,1,2,1,8
LENOIR MEMORIAL HOSPITAL,KINSTON,NC,FY2016,0.2,1,0,1,1,2,1,8
LENOIR MEMORIAL HOSPITAL,KINSTON,NC,FY2017,0.88,1,0,1,1,2,1,8
LEXINGTON MEMORIAL HOSPITAL INC,LEXINGTON,NC,FY2013,0.29,1,1,1,1,1,1,8
LEXINGTON MEMORIAL HOSPITAL INC,LEXINGTON,NC,FY2014,0.29,1,1,1,1,1,1,8
LEXINGTON MEMORIAL HOSPITAL INC,LEXINGTON,NC,FY2015,0.26,1,1,1,1,1,1,8
LEXINGTON MEMORIAL HOSPITAL INC,LEXINGTON,NC,FY2016,0.06,1,1,1,1,1,1,8
LEXINGTON MEMORIAL HOSPITAL INC,LEXINGTON,NC,FY2017,0.34,1,1,1,1,1,1,8
MARGARET R PARDEE MEMORIAL HOSPITAL,HENDERSONVILLE,NC,FY2013,0,0,0,0,0,0,1,8
MARGARET R PARDEE MEMORIAL HOSPITAL,HENDERSONVILLE,NC,FY2014,0,0,0,0,0,0,1,8
MARGARET R PARDEE MEMORIAL HOSPITAL,HENDERSONVILLE,NC,FY2015,0,0,0,0,0,0,1,8
MARGARET R PARDEE MEMORIAL HOSPITAL,HENDERSONVILLE,NC,FY2016,0,0,0,0,0,0,1,8
MARGARET R PARDEE MEMORIAL HOSPITAL,HENDERSONVILLE,NC,FY2017,0,0,0,0,0,0,1,8
MARIA PARHAM MEDICAL CENTER,HENDERSON,NC,FY2013,0.01,1,1,2,2,3,1,8
MARIA PARHAM MEDICAL CENTER,HENDERSON,NC,FY2014,0.1,1,1,2,2,3,1,8
MARIA PARHAM MEDICAL CENTER,HENDERSON,NC,FY2015,0.75,1,1,2,2,3,1,8
MARIA PARHAM MEDICAL CENTER,HENDERSON,NC,FY2016,0.72,1,1,2,2,3,1,8
MARIA PARHAM MEDICAL CENTER,HENDERSON,NC,FY2017,1.32,1,1,2,2,3,1,8
MARTIN GENERAL HOSPITAL,WILLIAMSTON,NC,FY2013,0.98,2,2,3,2,5,1,8
MARTIN GENERAL HOSPITAL,WILLIAMSTON,NC,FY2014,0.93,2,2,3,2,5,1,8
MARTIN GENERAL HOSPITAL,WILLIAMSTON,NC,FY2015,1.07,2,2,3,2,5,1,8
MARTIN GENERAL HOSPITAL,WILLIAMSTON,NC,FY2016,0.8,2,2,3,2,5,1,8
MARTIN GENERAL HOSPITAL,WILLIAMSTON,NC,FY2017,2.23,2,2,3,2,5,1,8
MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE,ASHEVILLE,NC,FY2013,0,0,0,0,0,1,1,8
MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE,ASHEVILLE,NC,FY2014,0,0,0,0,0,1,1,8
MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE,ASHEVILLE,NC,FY2015,0,0,0,0,0,1,1,8
MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE,ASHEVILLE,NC,FY2016,0,0,0,0,0,1,1,8
MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE,ASHEVILLE,NC,FY2017,0.02,0,0,0,0,1,1,8
MOREHEAD MEMORIAL HOSPITAL,EDEN,NC,FY2013,1,2,2,3,1,2,1,8
MOREHEAD MEMORIAL HOSPITAL,EDEN,NC,FY2014,0.77,2,2,3,1,2,1,8
MOREHEAD MEMORIAL HOSPITAL,EDEN,NC,FY2015,1.09,2,2,3,1,2,1,8
MOREHEAD MEMORIAL HOSPITAL,EDEN,NC,FY2016,0.48,2,2,3,1,2,1,8
MOREHEAD MEMORIAL HOSPITAL,EDEN,NC,FY2017,0.73,2,2,3,1,2,1,8
"MOSES H CONE MEMORIAL HOSPITAL, THE",GREENSBORO,NC,FY2013,0,0,0,0,0,0,1,8
"MOSES H CONE MEMORIAL HOSPITAL, THE",GREENSBORO,NC,FY2014,0,0,0,0,0,0,1,8
"MOSES H CONE MEMORIAL HOSPITAL, THE",GREENSBORO,NC,FY2015,0,0,0,0,0,0,1,8
"MOSES H CONE MEMORIAL HOSPITAL, THE",GREENSBORO,NC,FY2016,0,0,0,0,0,0,1,8
"MOSES H CONE MEMORIAL HOSPITAL, THE",GREENSBORO,NC,FY2017,0,0,0,0,0,0,1,8
NASH GENERAL HOSPITAL,ROCKY MOUNT,NC,FY2013,0.9,2,1,1,2,5,1,8
NASH GENERAL HOSPITAL,ROCKY MOUNT,NC,FY2014,0.38,2,1,1,2,5,1,8
NASH GENERAL HOSPITAL,ROCKY MOUNT,NC,FY2015,0.26,2,1,1,2,5,1,8
NASH GENERAL HOSPITAL,ROCKY MOUNT,NC,FY2016,0.88,2,1,1,2,5,1,8
NASH GENERAL HOSPITAL,ROCKY MOUNT,NC,FY2017,2.24,2,1,1,2,5,1,8
NEW HANOVER REGIONAL MEDICAL CENTER,WILMINGTON,NC,FY2013,0,0,0,2,2,2,1,8
NEW HANOVER REGIONAL MEDICAL CENTER,WILMINGTON,NC,FY2014,0,0,0,2,2,2,1,8
NEW HANOVER REGIONAL MEDICAL CENTER,WILMINGTON,NC,FY2015,0.67,0,0,2,2,2,1,8
NEW HANOVER REGIONAL MEDICAL CENTER,WILMINGTON,NC,FY2016,0.86,0,0,2,2,2,1,8
NEW HANOVER REGIONAL MEDICAL CENTER,WILMINGTON,NC,FY2017,0.66,0,0,2,2,2,1,8
NORTH CAROLINA BAPTIST HOSPITAL,WINSTON-SALEM,NC,FY2013,0.72,2,2,2,2,1,1,8
NORTH CAROLINA BAPTIST HOSPITAL,WINSTON-SALEM,NC,FY2014,0.73,2,2,2,2,1,1,8
NORTH CAROLINA BAPTIST HOSPITAL,WINSTON-SALEM,NC,FY2015,0.62,2,2,2,2,1,1,8
NORTH CAROLINA BAPTIST HOSPITAL,WINSTON-SALEM,NC,FY2016,0.63,2,2,2,2,1,1,8
NORTH CAROLINA BAPTIST HOSPITAL,WINSTON-SALEM,NC,FY2017,0.23,2,2,2,2,1,1,8
NORTH CAROLINA SPECIALTY HOSPITAL,DURHAM,NC,FY2013,0,0,0,0,0,0,1,8
NORTH CAROLINA SPECIALTY HOSPITAL,DURHAM,NC,FY2014,0,0,0,0,0,0,1,8
NORTH CAROLINA SPECIALTY HOSPITAL,DURHAM,NC,FY2015,0,0,0,0,0,0,1,8
NORTH CAROLINA SPECIALTY HOSPITAL,DURHAM,NC,FY2016,0,0,0,0,0,0,1,8
NORTH CAROLINA SPECIALTY HOSPITAL,DURHAM,NC,FY2017,0,0,0,0,0,0,1,8
NORTHERN HOSPITAL OF SURRY COUNTY,MOUNT AIRY,NC,FY2013,0.3,1,1,2,4,6,1,8
NORTHERN HOSPITAL OF SURRY COUNTY,MOUNT AIRY,NC,FY2014,0.11,1,1,2,4,6,1,8
NORTHERN HOSPITAL OF SURRY COUNTY,MOUNT AIRY,NC,FY2015,0.68,1,1,2,4,6,1,8
NORTHERN HOSPITAL OF SURRY COUNTY,MOUNT AIRY,NC,FY2016,1.96,1,1,2,4,6,1,8
NORTHERN HOSPITAL OF SURRY COUNTY,MOUNT AIRY,NC,FY2017,3,1,1,2,4,6,1,8
NOVANT HEALTH BRUNSWICK MEDICAL CENTER,SUPPLY,NC,FY2013,0.2,1,1,1,3,4,1,8
NOVANT HEALTH BRUNSWICK MEDICAL CENTER,SUPPLY,NC,FY2014,0.1,1,1,1,3,4,1,8
NOVANT HEALTH BRUNSWICK MEDICAL CENTER,SUPPLY,NC,FY2015,0.09,1,1,1,3,4,1,8
NOVANT HEALTH BRUNSWICK MEDICAL CENTER,SUPPLY,NC,FY2016,1.35,1,1,1,3,4,1,8
NOVANT HEALTH BRUNSWICK MEDICAL CENTER,SUPPLY,NC,FY2017,1.96,1,1,1,3,4,1,8
NOVANT HEALTH FORSYTH MEDICAL CENTER,WINSTON-SALEM,NC,FY2013,0,0,0,1,1,1,1,8
NOVANT HEALTH FORSYTH MEDICAL CENTER,WINSTON-SALEM,NC,FY2014,0,0,0,1,1,1,1,8
NOVANT HEALTH FORSYTH MEDICAL CENTER,WINSTON-SALEM,NC,FY2015,0.11,0,0,1,1,1,1,8
NOVANT HEALTH FORSYTH MEDICAL CENTER,WINSTON-SALEM,NC,FY2016,0.05,0,0,1,1,1,1,8
NOVANT HEALTH FORSYTH MEDICAL CENTER,WINSTON-SALEM,NC,FY2017,0.34,0,0,1,1,1,1,8
NOVANT HEALTH HUNTERSVILLE MEDICAL CENTER,HUNTERSVILLE,NC,FY2013,0,0,1,1,2,1,1,8
NOVANT HEALTH HUNTERSVILLE MEDICAL CENTER,HUNTERSVILLE,NC,FY2014,0.08,0,1,1,2,1,1,8
NOVANT HEALTH HUNTERSVILLE MEDICAL CENTER,HUNTERSVILLE,NC,FY2015,0.19,0,1,1,2,1,1,8
NOVANT HEALTH HUNTERSVILLE MEDICAL CENTER,HUNTERSVILLE,NC,FY2016,0.72,0,1,1,2,1,1,8
NOVANT HEALTH HUNTERSVILLE MEDICAL CENTER,HUNTERSVILLE,NC,FY2017,0.45,0,1,1,2,1,1,8
NOVANT HEALTH MATTHEWS MEDICAL CENTER,MATTHEWS,NC,FY2013,0.09,1,0,2,1,2,1,8
NOVANT HEALTH MATTHEWS MEDICAL CENTER,MATTHEWS,NC,FY2014,0,1,0,2,1,2,1,8
NOVANT HEALTH MATTHEWS MEDICAL CENTER,MATTHEWS,NC,FY2015,0.53,1,0,2,1,2,1,8
NOVANT HEALTH MATTHEWS MEDICAL CENTER,MATTHEWS,NC,FY2016,0.45,1,0,2,1,2,1,8
NOVANT HEALTH MATTHEWS MEDICAL CENTER,MATTHEWS,NC,FY2017,0.91,1,0,2,1,2,1,8
NOVANT HEALTH MEDICAL PARK HOSPITAL,WINSTON-SALEM,NC,FY2013,0,0,0,0,0,0,1,8
NOVANT HEALTH MEDICAL PARK HOSPITAL,WINSTON-SALEM,NC,FY2014,0,0,0,0,0,0,1,8
NOVANT HEALTH MEDICAL PARK HOSPITAL,WINSTON-SALEM,NC,FY2015,0,0,0,0,0,0,1,8
NOVANT HEALTH MEDICAL PARK HOSPITAL,WINSTON-SALEM,NC,FY2016,0,0,0,0,0,0,1,8
NOVANT HEALTH MEDICAL PARK HOSPITAL,WINSTON-SALEM,NC,FY2017,0,0,0,0,0,0,1,8
NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER,CHARLOTTE,NC,FY2013,0,0,1,1,1,1,1,8
NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER,CHARLOTTE,NC,FY2014,0.18,0,1,1,1,1,1,8
NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER,CHARLOTTE,NC,FY2015,0.3,0,1,1,1,1,1,8
NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER,CHARLOTTE,NC,FY2016,0.22,0,1,1,1,1,1,8
NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER,CHARLOTTE,NC,FY2017,0.15,0,1,1,1,1,1,8
NOVANT HEALTH ROWAN MEDICAL CENTER,SALISBURY,NC,FY2013,0,0,1,1,1,1,1,8
NOVANT HEALTH ROWAN MEDICAL CENTER,SALISBURY,NC,FY2014,0.13,0,1,1,1,1,1,8
NOVANT HEALTH ROWAN MEDICAL CENTER,SALISBURY,NC,FY2015,0.23,0,1,1,1,1,1,8
NOVANT HEALTH ROWAN MEDICAL CENTER,SALISBURY,NC,FY2016,0.22,0,1,1,1,1,1,8
NOVANT HEALTH ROWAN MEDICAL CENTER,SALISBURY,NC,FY2017,0.3,0,1,1,1,1,1,8
NOVANT HEALTH THOMASVILLE MEDICAL CENTER,THOMASVILLE,NC,FY2013,0.26,1,1,1,1,1,1,8
NOVANT HEALTH THOMASVILLE MEDICAL CENTER,THOMASVILLE,NC,FY2014,0.05,1,1,1,1,1,1,8
NOVANT HEALTH THOMASVILLE MEDICAL CENTER,THOMASVILLE,NC,FY2015,0.31,1,1,1,1,1,1,8
NOVANT HEALTH THOMASVILLE MEDICAL CENTER,THOMASVILLE,NC,FY2016,0.25,1,1,1,1,1,1,8
NOVANT HEALTH THOMASVILLE MEDICAL CENTER,THOMASVILLE,NC,FY2017,0.24,1,1,1,1,1,1,8
ONSLOW MEMORIAL HOSPITAL,JACKSONVILLE,NC,FY2013,0.19,1,1,3,4,4,1,8
ONSLOW MEMORIAL HOSPITAL,JACKSONVILLE,NC,FY2014,0.34,1,1,3,4,4,1,8
ONSLOW MEMORIAL HOSPITAL,JACKSONVILLE,NC,FY2015,1.48,1,1,3,4,4,1,8
ONSLOW MEMORIAL HOSPITAL,JACKSONVILLE,NC,FY2016,1.79,1,1,3,4,4,1,8
ONSLOW MEMORIAL HOSPITAL,JACKSONVILLE,NC,FY2017,1.7,1,1,3,4,4,1,8
PARK RIDGE HEALTH,HENDERSONVILLE,NC,FY2013,0,0,0,2,3,1,1,8
PARK RIDGE HEALTH,HENDERSONVILLE,NC,FY2014,0,0,0,2,3,1,1,8
PARK RIDGE HEALTH,HENDERSONVILLE,NC,FY2015,0.94,0,0,2,3,1,1,8
PARK RIDGE HEALTH,HENDERSONVILLE,NC,FY2016,1.43,0,0,2,3,1,1,8
PARK RIDGE HEALTH,HENDERSONVILLE,NC,FY2017,0.01,0,0,2,3,1,1,8
PERSON MEMORIAL HOSPITAL,ROXBORO,NC,FY2013,0,0,0,2,4,3,1,8
PERSON MEMORIAL HOSPITAL,ROXBORO,NC,FY2014,0,0,0,2,4,3,1,8
PERSON MEMORIAL HOSPITAL,ROXBORO,NC,FY2015,0.93,0,0,2,4,3,1,8
PERSON MEMORIAL HOSPITAL,ROXBORO,NC,FY2016,1.73,0,0,2,4,3,1,8
PERSON MEMORIAL HOSPITAL,ROXBORO,NC,FY2017,1.1,0,0,2,4,3,1,8
RANDOLPH HOSPITAL,ASHEBORO,NC,FY2013,0.84,2,2,1,1,0,1,8
RANDOLPH HOSPITAL,ASHEBORO,NC,FY2014,0.83,2,2,1,1,0,1,8
RANDOLPH HOSPITAL,ASHEBORO,NC,FY2015,0.41,2,2,1,1,0,1,8
RANDOLPH HOSPITAL,ASHEBORO,NC,FY2016,0.03,2,2,1,1,0,1,8
RANDOLPH HOSPITAL,ASHEBORO,NC,FY2017,0,2,2,1,1,0,1,8
REX HOSPITAL,RALEIGH,NC,FY2013,0.15,1,1,1,1,1,1,8
REX HOSPITAL,RALEIGH,NC,FY2014,0.08,1,1,1,1,1,1,8
REX HOSPITAL,RALEIGH,NC,FY2015,0.04,1,1,1,1,1,1,8
REX HOSPITAL,RALEIGH,NC,FY2016,0.07,1,1,1,1,1,1,8
REX HOSPITAL,RALEIGH,NC,FY2017,0.05,1,1,1,1,1,1,8
RUTHERFORD REGIONAL MEDICAL CENTER,RUTHERFORDTON,NC,FY2013,0.68,2,1,1,0,2,1,8
RUTHERFORD REGIONAL MEDICAL CENTER,RUTHERFORDTON,NC,FY2014,0.22,2,1,1,0,2,1,8
RUTHERFORD REGIONAL MEDICAL CENTER,RUTHERFORDTON,NC,FY2015,0.02,2,1,1,0,2,1,8
RUTHERFORD REGIONAL MEDICAL CENTER,RUTHERFORDTON,NC,FY2016,0,2,1,1,0,2,1,8
RUTHERFORD REGIONAL MEDICAL CENTER,RUTHERFORDTON,NC,FY2017,0.52,2,1,1,0,2,1,8
SAMPSON REGIONAL MEDICAL CENTER,CLINTON,NC,FY2013,0,0,0,1,2,2,1,8
SAMPSON REGIONAL MEDICAL CENTER,CLINTON,NC,FY2014,0,0,0,1,2,2,1,8
SAMPSON REGIONAL MEDICAL CENTER,CLINTON,NC,FY2015,0.2,0,0,1,2,2,1,8
SAMPSON REGIONAL MEDICAL CENTER,CLINTON,NC,FY2016,0.75,0,0,1,2,2,1,8
SAMPSON REGIONAL MEDICAL CENTER,CLINTON,NC,FY2017,0.58,0,0,1,2,2,1,8
SANDHILLS REGIONAL MEDICAL CENTER,HAMLET,NC,FY2013,1,2,2,1,1,1,1,8
SANDHILLS REGIONAL MEDICAL CENTER,HAMLET,NC,FY2014,0.67,2,2,1,1,1,1,8
SANDHILLS REGIONAL MEDICAL CENTER,HAMLET,NC,FY2015,0.3,2,2,1,1,1,1,8
SANDHILLS REGIONAL MEDICAL CENTER,HAMLET,NC,FY2016,0.4,2,2,1,1,1,1,8
SANDHILLS REGIONAL MEDICAL CENTER,HAMLET,NC,FY2017,0.21,2,2,1,1,1,1,8
SCOTLAND MEMORIAL HOSPITAL,LAURINBURG,NC,FY2013,0.51,2,1,1,1,1,1,8
SCOTLAND MEMORIAL HOSPITAL,LAURINBURG,NC,FY2014,0.42,2,1,1,1,1,1,8
SCOTLAND MEMORIAL HOSPITAL,LAURINBURG,NC,FY2015,0.37,2,1,1,1,1,1,8
SCOTLAND MEMORIAL HOSPITAL,LAURINBURG,NC,FY2016,0.32,2,1,1,1,1,1,8
SCOTLAND MEMORIAL HOSPITAL,LAURINBURG,NC,FY2017,0.12,2,1,1,1,1,1,8
SENTARA ALBEMARLE MEDICAL CENTER,ELIZABETH CITY,NC,FY2013,0,0,0,1,1,2,1,8
SENTARA ALBEMARLE MEDICAL CENTER,ELIZABETH CITY,NC,FY2014,0,0,0,1,1,2,1,8
SENTARA ALBEMARLE MEDICAL CENTER,ELIZABETH CITY,NC,FY2015,0.21,0,0,1,1,2,1,8
SENTARA ALBEMARLE MEDICAL CENTER,ELIZABETH CITY,NC,FY2016,0.09,0,0,1,1,2,1,8
SENTARA ALBEMARLE MEDICAL CENTER,ELIZABETH CITY,NC,FY2017,0.55,0,0,1,1,2,1,8
SOUTHEASTERN REGIONAL MEDICAL CENTER,LUMBERTON,NC,FY2013,0.93,2,2,3,3,5,1,8
SOUTHEASTERN REGIONAL MEDICAL CENTER,LUMBERTON,NC,FY2014,0.92,2,2,3,3,5,1,8
SOUTHEASTERN REGIONAL MEDICAL CENTER,LUMBERTON,NC,FY2015,1.17,2,2,3,3,5,1,8
SOUTHEASTERN REGIONAL MEDICAL CENTER,LUMBERTON,NC,FY2016,1.47,2,2,3,3,5,1,8
SOUTHEASTERN REGIONAL MEDICAL CENTER,LUMBERTON,NC,FY2017,2.29,2,2,3,3,5,1,8
THE MCDOWELL HOSPITAL,MARION,NC,FY2013,0,0,1,1,1,2,1,8
THE MCDOWELL HOSPITAL,MARION,NC,FY2014,0.04,0,1,1,1,2,1,8
THE MCDOWELL HOSPITAL,MARION,NC,FY2015,0.39,0,1,1,1,2,1,8
THE MCDOWELL HOSPITAL,MARION,NC,FY2016,0.35,0,1,1,1,2,1,8
THE MCDOWELL HOSPITAL,MARION,NC,FY2017,0.89,0,1,1,1,2,1,8
UNIVERSITY OF NORTH CAROLINA HOSPITAL,CHAPEL HILL,NC,FY2013,0.2,1,1,1,1,1,1,8
UNIVERSITY OF NORTH CAROLINA HOSPITAL,CHAPEL HILL,NC,FY2014,0.1,1,1,1,1,1,1,8
UNIVERSITY OF NORTH CAROLINA HOSPITAL,CHAPEL HILL,NC,FY2015,0.17,1,1,1,1,1,1,8
UNIVERSITY OF NORTH CAROLINA HOSPITAL,CHAPEL HILL,NC,FY2016,0.14,1,1,1,1,1,1,8
UNIVERSITY OF NORTH CAROLINA HOSPITAL,CHAPEL HILL,NC,FY2017,0.46,1,1,1,1,1,1,8
VIDANT BEAUFORT HOSPITAL,WASHINGTON,NC,FY2013,0,0,1,1,3,2,1,8
VIDANT BEAUFORT HOSPITAL,WASHINGTON,NC,FY2014,0.03,0,1,1,3,2,1,8
VIDANT BEAUFORT HOSPITAL,WASHINGTON,NC,FY2015,0.4,0,1,1,3,2,1,8
VIDANT BEAUFORT HOSPITAL,WASHINGTON,NC,FY2016,1.03,0,1,1,3,2,1,8
VIDANT BEAUFORT HOSPITAL,WASHINGTON,NC,FY2017,0.6,0,1,1,3,2,1,8
VIDANT DUPLIN  HOSPITAL,KENANSVILLE,NC,FY2013,0.45,1,2,1,1,2,1,8
VIDANT DUPLIN  HOSPITAL,KENANSVILLE,NC,FY2014,0.51,1,2,1,1,2,1,8
VIDANT DUPLIN  HOSPITAL,KENANSVILLE,NC,FY2015,0.34,1,2,1,1,2,1,8
VIDANT DUPLIN  HOSPITAL,KENANSVILLE,NC,FY2016,0.44,1,2,1,1,2,1,8
VIDANT DUPLIN  HOSPITAL,KENANSVILLE,NC,FY2017,0.58,1,2,1,1,2,1,8
VIDANT EDGECOMBE HOSPITAL,TARBORO,NC,FY2013,0.54,2,1,3,2,3,1,8
VIDANT EDGECOMBE HOSPITAL,TARBORO,NC,FY2014,0.48,2,1,3,2,3,1,8
VIDANT EDGECOMBE HOSPITAL,TARBORO,NC,FY2015,1.19,2,1,3,2,3,1,8
VIDANT EDGECOMBE HOSPITAL,TARBORO,NC,FY2016,0.95,2,1,3,2,3,1,8
VIDANT EDGECOMBE HOSPITAL,TARBORO,NC,FY2017,1.25,2,1,3,2,3,1,8
VIDANT MEDICAL CENTER,GREENVILLE,NC,FY2013,0.57,2,2,3,3,3,1,8
VIDANT MEDICAL CENTER,GREENVILLE,NC,FY2014,0.63,2,2,3,3,3,1,8
VIDANT MEDICAL CENTER,GREENVILLE,NC,FY2015,1.18,2,2,3,3,3,1,8
VIDANT MEDICAL CENTER,GREENVILLE,NC,FY2016,1.18,2,2,3,3,3,1,8
VIDANT MEDICAL CENTER,GREENVILLE,NC,FY2017,1.38,2,2,3,3,3,1,8
VIDANT ROANOKE CHOWAN HOSPITAL,AHOSKIE,NC,FY2013,1,2,2,2,2,3,1,8
VIDANT ROANOKE CHOWAN HOSPITAL,AHOSKIE,NC,FY2014,0.81,2,2,2,2,3,1,8
VIDANT ROANOKE CHOWAN HOSPITAL,AHOSKIE,NC,FY2015,0.99,2,2,2,2,3,1,8
VIDANT ROANOKE CHOWAN HOSPITAL,AHOSKIE,NC,FY2016,0.83,2,2,2,2,3,1,8
VIDANT ROANOKE CHOWAN HOSPITAL,AHOSKIE,NC,FY2017,1.46,2,2,2,2,3,1,8
"WAKEMED, CARY HOSPITAL",CARY,NC,FY2013,0,0,0,2,1,1,1,8
"WAKEMED, CARY HOSPITAL",CARY,NC,FY2014,0,0,0,2,1,1,1,8
"WAKEMED, CARY HOSPITAL",CARY,NC,FY2015,0.55,0,0,2,1,1,1,8
"WAKEMED, CARY HOSPITAL",CARY,NC,FY2016,0.34,0,0,2,1,1,1,8
"WAKEMED, CARY HOSPITAL",CARY,NC,FY2017,0.36,0,0,2,1,1,1,8
"WAKEMED, RALEIGH CAMPUS",RALEIGH,NC,FY2013,0.28,1,1,1,0,1,1,8
"WAKEMED, RALEIGH CAMPUS",RALEIGH,NC,FY2014,0.42,1,1,1,0,1,1,8
"WAKEMED, RALEIGH CAMPUS",RALEIGH,NC,FY2015,0.38,1,1,1,0,1,1,8
"WAKEMED, RALEIGH CAMPUS",RALEIGH,NC,FY2016,0,1,1,1,0,1,1,8
"WAKEMED, RALEIGH CAMPUS",RALEIGH,NC,FY2017,0.03,1,1,1,0,1,1,8
WATAUGA MEDICAL CENTER,BOONE,NC,FY2013,0.34,1,1,2,3,2,1,8
WATAUGA MEDICAL CENTER,BOONE,NC,FY2014,0.14,1,1,2,3,2,1,8
WATAUGA MEDICAL CENTER,BOONE,NC,FY2015,0.67,1,1,2,3,2,1,8
WATAUGA MEDICAL CENTER,BOONE,NC,FY2016,1.29,1,1,2,3,2,1,8
WATAUGA MEDICAL CENTER,BOONE,NC,FY2017,0.89,1,1,2,3,2,1,8
WAYNE MEMORIAL HOSPITAL,GOLDSBORO,NC,FY2013,0.47,1,1,1,2,2,1,8
WAYNE MEMORIAL HOSPITAL,GOLDSBORO,NC,FY2014,0.39,1,1,1,2,2,1,8
WAYNE MEMORIAL HOSPITAL,GOLDSBORO,NC,FY2015,0.41,1,1,1,2,2,1,8
WAYNE MEMORIAL HOSPITAL,GOLDSBORO,NC,FY2016,0.59,1,1,1,2,2,1,8
WAYNE MEMORIAL HOSPITAL,GOLDSBORO,NC,FY2017,0.77,1,1,1,2,2,1,8
WILKES REGIONAL MEDICAL CENTER,NORTH WILKESBORO,NC,FY2013,0.57,2,2,3,4,6,1,8
WILKES REGIONAL MEDICAL CENTER,NORTH WILKESBORO,NC,FY2014,0.75,2,2,3,4,6,1,8
WILKES REGIONAL MEDICAL CENTER,NORTH WILKESBORO,NC,FY2015,1.24,2,2,3,4,6,1,8
WILKES REGIONAL MEDICAL CENTER,NORTH WILKESBORO,NC,FY2016,1.71,2,2,3,4,6,1,8
WILKES REGIONAL MEDICAL CENTER,NORTH WILKESBORO,NC,FY2017,3,2,2,3,4,6,1,8
WILSON MEDICAL CENTER,WILSON,NC,FY2013,0.46,1,1,1,1,2,1,8
WILSON MEDICAL CENTER,WILSON,NC,FY2014,0.45,1,1,1,1,2,1,8
WILSON MEDICAL CENTER,WILSON,NC,FY2015,0.15,1,1,1,1,2,1,8
WILSON MEDICAL CENTER,WILSON,NC,FY2016,0.14,1,1,1,1,2,1,8
WILSON MEDICAL CENTER,WILSON,NC,FY2017,0.95,1,1,1,1,2,1,8
ALTRU HOSPITAL,GRAND FORKS,ND,FY2013,0.05,1,1,0,0,0,2,7
ALTRU HOSPITAL,GRAND FORKS,ND,FY2014,0.01,1,1,0,0,0,2,7
ALTRU HOSPITAL,GRAND FORKS,ND,FY2015,0,1,1,0,0,0,2,7
ALTRU HOSPITAL,GRAND FORKS,ND,FY2016,0,1,1,0,0,0,2,7
ALTRU HOSPITAL,GRAND FORKS,ND,FY2017,0,1,1,0,0,0,2,7
ESSENTIA HEALTH-FARGO,FARGO,ND,FY2013,0.2,1,1,1,1,1,2,7
ESSENTIA HEALTH-FARGO,FARGO,ND,FY2014,0.05,1,1,1,1,1,2,7
ESSENTIA HEALTH-FARGO,FARGO,ND,FY2015,0.13,1,1,1,1,1,2,7
ESSENTIA HEALTH-FARGO,FARGO,ND,FY2016,0.07,1,1,1,1,1,2,7
ESSENTIA HEALTH-FARGO,FARGO,ND,FY2017,0.13,1,1,1,1,1,2,7
P H S INDIAN HOSP AT BELCOURT-QUENTIN N BURDICK,BELCOURT,ND,FY2013,0.73,2,1,0,0,1,2,7
P H S INDIAN HOSP AT BELCOURT-QUENTIN N BURDICK,BELCOURT,ND,FY2014,0.27,2,1,0,0,1,2,7
P H S INDIAN HOSP AT BELCOURT-QUENTIN N BURDICK,BELCOURT,ND,FY2015,0,2,1,0,0,1,2,7
P H S INDIAN HOSP AT BELCOURT-QUENTIN N BURDICK,BELCOURT,ND,FY2016,0,2,1,0,0,1,2,7
P H S INDIAN HOSP AT BELCOURT-QUENTIN N BURDICK,BELCOURT,ND,FY2017,0.09,2,1,0,0,1,2,7
SANFORD MEDICAL CENTER BISMARCK,BISMARCK,ND,FY2013,0.37,1,1,0,1,1,2,7
SANFORD MEDICAL CENTER BISMARCK,BISMARCK,ND,FY2014,0.21,1,1,0,1,1,2,7
